Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"J1", "Conn_02x15_Odd_Even", "30PIN_0.4MM_BTB_MALE", 138.1125, 83.25, 0.0, "bottom"
"J2", "Conn_02x15_Odd_Even", "30PIN_0.4MM_BTB_MALE", 252.4125, 83.25, 0.0, "bottom"
"D11", "1N4148", "SOD-323", 66.081893, 75.828429, 180, "bottom"
"LED11", "led2812", "3528-rev", 71.4375, 68.73875, 180, "bottom"
"S11", "hssocket", "kh1u", 71.4375, 78.89874999999999, 180, "bottom"
"C11", "capacitor", "c0603", 67.3175, 69.46374999999999, 180, "bottom"
"D12", "1N4148", "SOD-323", 85.13189299999999, 75.828429, 180, "bottom"
"LED12", "led2812", "3528-rev", 90.4875, 68.73875, 180, "bottom"
"S12", "hssocket", "kh1u", 90.4875, 78.89874999999999, 180, "bottom"
"C12", "capacitor", "c0603", 86.36749999999999, 69.46374999999999, 180, "bottom"
"D13", "1N4148", "SOD-323", 104.18189299999999, 75.828429, 180, "bottom"
"LED13", "led2812", "3528-rev", 109.5375, 68.73875, 180, "bottom"
"S13", "hssocket", "kh1u", 109.5375, 78.89874999999999, 180, "bottom"
"C13", "capacitor", "c0603", 105.41749999999999, 69.46374999999999, 180, "bottom"
"D14", "1N4148", "SOD-323", 123.23189299999997, 75.828429, 180, "bottom"
"LED14", "led2812", "3528-rev", 128.58749999999998, 68.73875, 180, "bottom"
"S14", "hssocket", "kh1u", 128.58749999999998, 78.89874999999999, 180, "bottom"
"C14", "capacitor", "c0603", 124.46749999999997, 69.46374999999999, 180, "bottom"
"D15", "1N4148", "SOD-323", 142.281893, 75.828429, 180, "bottom"
"LED15", "led2812", "3528-rev", 147.6375, 68.73875, 180, "bottom"
"S15", "hssocket", "kh1u", 147.6375, 78.89874999999999, 180, "bottom"
"C15", "capacitor", "c0603", 143.51749999999998, 69.46374999999999, 180, "bottom"
"D16", "1N4148", "SOD-323", 161.331893, 75.828429, 180, "bottom"
"LED16", "led2812", "3528-rev", 166.6875, 68.73875, 180, "bottom"
"S16", "hssocket", "kh1u", 166.6875, 78.89874999999999, 180, "bottom"
"C16", "capacitor", "c0603", 162.5675, 69.46374999999999, 180, "bottom"
"D17", "1N4148", "SOD-323", 180.38189300000002, 75.828429, 180, "bottom"
"LED17", "led2812", "3528-rev", 185.7375, 68.73875, 180, "bottom"
"S17", "hssocket", "kh1u", 185.7375, 78.89874999999999, 180, "bottom"
"C17", "capacitor", "c0603", 181.6175, 69.46374999999999, 180, "bottom"
"D18", "1N4148", "SOD-323", 199.43189300000003, 75.828429, 180, "bottom"
